LAT,LONG
"18° 50' 55,762"" S","66° 23' 32,048"" W"
"18° 20' 23,302"" S","67° 31' 52,736"" W"
"18° 54' 58,258"" S","66° 25' 25,303"" W"
"19° 6' 53,870"" S","67° 28' 28,424"" W"
"19° 2' 13,487"" S","66° 12' 33,439"" W"
"18° 16' 30,632"" S","66° 40' 26,039"" W"
"18° 42' 43,995"" S","66° 41' 2,168"" W"
"18° 21' 35,479"" S","66° 54' 39,931"" W"
"18° 9' 23,150"" S","67° 38' 18,247"" W"
"18° 16' 1,417"" S","66° 52' 43,911"" W"
"18° 41' 22,574"" S","66° 46' 35,357"" W"
"19° 4' 35,846"" S","66° 8' 29,915"" W"
"18° 57' 38,744"" S","66° 47' 41,996"" W"
"18° 50' 16,281"" S","68° 20' 10,017"" W"
"18° 51' 13,039"" S","68° 19' 9,776"" W"
"18° 28' 7,634"" S","66° 54' 17,386"" W"
"17° 27' 8,476"" S","67° 20' 28,142"" W"
"18° 51' 40,932"" S","66° 23' 43,384"" W"
"18° 50' 54,872"" S","66° 23' 50,238"" W"
"18° 44' 3,990"" S","66° 39' 10,404"" W"
"18° 44' 39,773"" S","66° 40' 19,907"" W"
"18° 23' 45,524"" S","66° 58' 22,083"" W"
"18° 31' 40,806"" S","68° 22' 13,784"" W"
"17° 51' 54,403"" S","68° 15' 46,766"" W"
"18° 50' 23,858"" S","66° 46' 30,442"" W"
"18° 31' 8,995"" S","66° 48' 47,717"" W"
"18° 14' 5,167"" S","66° 55' 39,441"" W"
"18° 24' 1,393"" S","66° 55' 9,451"" W"
"17° 49' 2,672"" S","66° 55' 25,131"" W"
"17° 39' 48,100"" S","66° 59' 39,114"" W"
"17° 37' 52,867"" S","66° 57' 26,845"" W"
"18° 34' 55,007"" S","66° 49' 16,791"" W"
"17° 40' 0,864"" S","66° 54' 59,301"" W"
"17° 41' 50,421"" S","66° 58' 46,748"" W"
"17° 41' 7,819"" S","66° 58' 27,351"" W"
"17° 38' 38,331"" S","66° 59' 9,043"" W"
"17° 39' 49,664"" S","66° 58' 54,913"" W"
"17° 37' 45,344"" S","66° 57' 16,033"" W"
"17° 38' 19,858"" S","66° 56' 46,101"" W"
"18° 56' 8,683"" S","66° 46' 56,536"" W"
"18° 43' 45,281"" S","66° 25' 4,270"" W"
"18° 43' 20,477"" S","66° 39' 26,847"" W"
"18° 52' 34,788"" S","66° 50' 13,411"" W"
"18° 43' 33,136"" S","66° 44' 39,822"" W"
"18° 51' 27,792"" S","66° 49' 1,876"" W"
"18° 47' 10,735"" S","66° 44' 14,102"" W"
"18° 51' 57,538"" S","66° 47' 5,891"" W"
"18° 51' 41,138"" S","66° 23' 31,545"" W"
"18° 51' 30,318"" S","66° 23' 46,735"" W"
"18° 48' 9,919"" S","66° 27' 30,431"" W"
"18° 44' 1,394"" S","66° 43' 4,063"" W"
"18° 52' 30,506"" S","66° 47' 18,483"" W"
"18° 54' 34,895"" S","66° 47' 28,420"" W"
"18° 47' 50,560"" S","66° 41' 47,764"" W"
"18° 48' 49,253"" S","66° 25' 52,680"" W"
"18° 49' 10,684"" S","66° 51' 3,283"" W"
"18° 46' 58,511"" S","66° 38' 46,094"" W"
"18° 53' 54,025"" S","66° 42' 14,471"" W"
"18° 39' 32,283"" S","66° 38' 44,816"" W"
"18° 44' 17,772"" S","66° 38' 16,926"" W"
"18° 53' 40,380"" S","66° 47' 29,614"" W"
"18° 48' 44,080"" S","66° 28' 40,211"" W"
"18° 45' 27,030"" S","66° 36' 0,407"" W"
"18° 44' 50,716"" S","66° 44' 20,941"" W"
"18° 45' 23,742"" S","66° 35' 32,129"" W"
"18° 43' 32,597"" S","66° 35' 46,631"" W"
"18° 44' 47,991"" S","66° 35' 55,071"" W"
"18° 50' 20,546"" S","66° 22' 18,516"" W"
"18° 44' 27,272"" S","66° 25' 34,344"" W"
"18° 44' 46,396"" S","66° 35' 6,968"" W"
"18° 55' 35,305"" S","66° 46' 44,839"" W"
"18° 42' 14,838"" S","66° 39' 49,807"" W"
"18° 45' 57,447"" S","66° 35' 24,925"" W"
"18° 50' 59,244"" S","66° 23' 23,640"" W"
"18° 56' 2,702"" S","66° 33' 51,765"" W"
