Latitude,Longitude
N 40° 2' 36'',E 116° 31' 22''
N 40° 16' 13'',E 116° 13' 31''
N 40° 21' 31'',E 116° 47' 44''
N 41° 1' 44'',E 116° 38' 2''
N 40° 26' 7'',E 116° 10' 10''
N 40° 24' 42'',E 116° 28' 6''
N 40° 42' 28'',E 116° 26' 58''
N 40° 7' 20'',E 116° 15' 50''
N 40° 7' 23'',E 116° 15' 38''
N 40° 20' 9'',E 116° 1' 54''
N 40° 50' 29'',E 116° 42' 16''
N 40° 41' 41'',E 116° 20' 31''
N 40° 6' 11'',E 116° 22' 46''
N 40° 8' 43'',E 117° 6' 34''
N 40° 27' 59'',E 116° 44' 25''
N 40° 12' 56'',E 116° 39' 10''
N 40° 48' 11'',E 116° 29' 6''
N 40° 14' 9'',E 116° 7' 29''
N 40° 10' 14'',E 117° 12' 48''
N 40° 14' 49'',E 116° 43' 41''
N 40° 10' 56'',E 116° 9' 40''
N 40° 37' 39'',E 116° 38' 42''
N 40° 34' 0'',E 116° 12' 47''
N 40° 2' 25'',E 116° 39' 55''
N 40° 14' 0'',E 117° 12' 0''
N 40° 53' 52'',E 116° 36' 58''
N 40° 22' 40'',E 115° 53' 37''
N 39° 59' 42'',E 115° 45' 47''
N 40° 22' 34'',E 116° 57' 3''
N 40° 33' 2'',E 116° 5' 21''
N 40° 21' 44'',E 116° 22' 15''
N 40° 31' 2'',E 115° 56' 7''
N 40° 14' 4'',E 116° 51' 51''
N 40° 14' 3'',E 117° 15' 14''
N 40° 21' 40'',E 116° 27' 41''
N 40° 42' 0'',E 116° 16' 3''
N 40° 12' 6'',E 115° 55' 55''
N 40° 20' 9'',E 116° 49' 55''
N 40° 39' 0'',E 116° 30' 0''
N 40° 11' 13'',E 117° 17' 6''
N 40° 29' 40'',E 116° 23' 37''
N 40° 19' 23'',E 116° 9' 6''
N 40° 20' 22'',E 117° 8' 3''
N 40° 7' 48'',E 115° 59' 22''
N 40° 36' 7'',E 117° 6' 16''
N 40° 44' 5'',E 116° 52' 56''
N 40° 21' 42'',E 116° 39' 22''
N 40° 26' 7'',E 116° 19' 30''
N 40° 21' 38'',E 116° 59' 44''
N 40° 16' 29'',E 116° 5' 25''
N 40° 31' 15'',E 117° 4' 47''
N 40° 17' 22'',E 116° 57' 26''
N 40° 24' 56'',E 115° 59' 3''
N 40° 1' 51'',E 115° 27' 36''
N 40° 6' 23'',E 117° 6' 42''
N 40° 26' 6'',E 116° 13' 21''
N 40° 25' 59'',E 116° 1' 16''
N 40° 26' 42'',E 116° 41' 40''
N 40° 16' 32'',E 117° 4' 0''
N 40° 33' 5'',E 116° 15' 9''
N 40° 7' 52'',E 115° 50' 52''
N 40° 23' 32'',E 117° 6' 17''
N 40° 34' 0'',E 116° 58' 26''
N 40° 24' 54'',E 116° 30' 26''
N 40° 30' 27'',E 117° 10' 5''
N 40° 5' 45'',E 117° 2' 32''
N 40° 2' 0'',E 116° 25' 0''
N 40° 37' 52'',E 116° 29' 38''
N 40° 32' 45'',E 116° 48' 55''
N 40° 3' 38'',E 116° 6' 39''
N 40° 41' 41'',E 116° 33' 43''
N 40° 1' 47'',E 116° 37' 32''
N 40° 11' 19'',E 116° 1' 14''
N 40° 25' 2'',E 117° 10' 11''
N 40° 37' 31'',E 116° 9' 1''
N 40° 36' 0'',E 116° 12' 0''
N 40° 28' 35'',E 116° 34' 21''
N 39° 48' 8'',E 115° 46' 41''
N 39° 49' 49'',E 115° 39' 14''
N 39° 44' 32'',E 115° 57' 23''
N 39° 45' 33'',E 116° 26' 2''
N 39° 48' 9'',E 116° 27' 3''
N 39° 40' 17'',E 116° 20' 35''
N 39° 43' 42'',E 116° 46' 30''
N 39° 46' 21'',E 116° 39' 39''
N 39° 47' 30'',E 116° 52' 26''
N 39° 50' 48'',E 116° 46' 40''
N 39° 56' 57'',E 116° 35' 44''
N 39° 52' 58'',E 116° 21' 6''
N 24° 9' 24'',E 107° 29' 0''
N 40° 4' 47'',E 117° 0' 35''
N 40° 13' 22'',E 116° 14' 45''
N 40° 19' 12'',E 116° 37' 44''
N 39° 48' 44'',E 115° 33' 47''
N 39° 56' 15'',E 116° 5' 48''
N 39° 54' 2'',E 116° 13' 50''
N 39° 53' 48'',E 116° 13' 13''
N 39° 55' 31'',E 116° 24' 14''
N 39° 54' 44'',E 116° 21' 22''
N 39° 53' 1'',E 116° 25' 36''
N 39° 55' 5'',E 116° 25' 56''
N 39° 43' 40'',E 116° 8' 15''
N 39° 54' 13'',E 116° 38' 48''
N 40° 7' 5'',E 116° 38' 34''
N 39° 43' 46'',E 116° 20' 11''
N 40° 8' 0'',E 117° 6' 30''
N 39° 46' 24'',E 116° 15' 15''
N 40° 7' 41'',E 116° 44' 10''
N 39° 59' 41'',E 116° 23' 2''
N 39° 54' 37'',E 116° 18' 54''
N 39° 53' 54'',E 116° 22' 5''
N 35° 12' 33'',E 110° 43' 58''
N 39° 52' 23'',E 116° 28' 34''
N 39° 59' 45'',E 116° 20' 24''
N 39° 59' 21'',E 116° 21' 14''
N 39° 57' 40'',E 116° 21' 7''
N 39° 57' 28'',E 116° 18' 35''
N 39° 57' 6'',E 116° 19' 58''
N 39° 50' 51'',E 116° 16' 20''
N 39° 39' 4'',E 116° 37' 1''
N 39° 40' 37'',E 116° 30' 24''
N 40° 0' 55'',E 115° 49' 37''
N 40° 24' 13'',E 116° 45' 57''
N 40° 0' 8'',E 116° 30' 49''
N 39° 54' 12'',E 116° 19' 4''
N 39° 56' 48'',E 116° 43' 32''
N 40° 25' 18'',E 117° 12' 46''
N 40° 12' 3'',E 117° 19' 4''
N 40° 41' 22'',E 117° 9' 29''
N 39° 43' 39'',E 116° 19' 52''
N 39° 50' 58'',E 116° 35' 33''
N 39° 52' 23'',E 116° 34' 2''
N 39° 56' 14'',E 116° 31' 46''
N 39° 54' 18'',E 116° 34' 21''
N 40° 12' 45'',E 116° 35' 41''
N 39° 54' 22'',E 116° 15' 46''
N 39° 54' 36'',E 116° 15' 49''
N 39° 54' 20'',E 116° 21' 4''
N 30° 43' 33'',E 108° 40' 29''
N 29° 20' 47'',E 116° 11' 55''
N 42° 17' 33'',E 125° 53' 56''
N 41° 15' 42'',E 119° 6' 28''
N 35° 7' 46'',E 110° 38' 30''
N 39° 39' 10'',E 116° 14' 11''
N 39° 56' 51'',E 116° 24' 6''
N 39° 56' 22'',E 116° 25' 37''
N 39° 53' 59'',E 116° 24' 44''
N 40° 21' 50'',E 115° 59' 6''
N 40° 3' 42'',E 116° 37' 57''
N 40° 4' 36'',E 116° 9' 31''
N 40° 13' 8'',E 116° 21' 6''
N 40° 16' 53'',E 116° 21' 20''
N 40° 17' 42'',E 116° 14' 53''
N 40° 19' 20'',E 116° 31' 26''
N 40° 19' 26'',E 116° 41' 13''
N 40° 23' 47'',E 116° 6' 27''
N 40° 27' 32'',E 116° 23' 54''
N 40° 27' 53'',E 116° 30' 47''
N 40° 30' 16'',E 116° 17' 17''
N 40° 33' 51'',E 116° 40' 32''
N 40° 37' 5'',E 116° 16' 33''
N 40° 41' 35'',E 116° 41' 0''
N 40° 49' 41'',E 116° 36' 48''
N 40° 53' 17'',E 116° 32' 1''
N 39° 42' 38'',E 116° 52' 24''
N 39° 47' 55'',E 116° 36' 24''
N 39° 47' 33'',E 116° 40' 26''
N 39° 56' 33'',E 115° 47' 30''
N 39° 36' 56'',E 116° 27' 20''
N 39° 45' 5'',E 116° 17' 31''
N 39° 58' 14'',E 116° 35' 14''
N 39° 45' 29'',E 115° 37' 35''
N 39° 33' 20'',E 116° 17' 30''
N 39° 51' 10'',E 116° 44' 19''
N 39° 43' 3'',E 115° 55' 38''
N 39° 40' 27'',E 116° 3' 48''
N 39° 43' 15'',E 116° 42' 10''
N 39° 52' 38'',E 116° 16' 1''
N 39° 52' 7'',E 116° 21' 29''
N 39° 58' 53'',E 116° 38' 49''
N 39° 36' 48'',E 116° 11' 50''
N 39° 43' 22'',E 115° 57' 11''
N 40° 0' 4'',E 115° 33' 45''
N 39° 45' 28'',E 115° 57' 48''
N 39° 53' 21'',E 116° 12' 24''
N 39° 44' 14'',E 116° 36' 17''
N 39° 37' 33'',E 115° 52' 58''
N 39° 46' 47'',E 115° 34' 51''
N 39° 49' 51'',E 116° 38' 22''
N 39° 43' 46'',E 116° 31' 3''
N 39° 57' 2'',E 116° 15' 55''
N 39° 36' 57'',E 115° 45' 50''
N 39° 33' 15'',E 115° 48' 49''
N 39° 51' 23'',E 115° 39' 49''
N 39° 39' 59'',E 115° 47' 56''
N 40° 1' 51'',E 115° 59' 13''
N 39° 50' 11'',E 116° 45' 10''
N 39° 49' 7'',E 116° 47' 15''
N 39° 58' 25'',E 115° 59' 46''
N 39° 48' 33'',E 116° 41' 30''
N 39° 38' 21'',E 115° 43' 12''
N 40° 0' 7'',E 116° 1' 0''
N 39° 46' 17'',E 115° 46' 20''
N 39° 35' 15'',E 116° 20' 11''
N 39° 40' 24'',E 116° 49' 7''
N 39° 50' 7'',E 116° 7' 21''
N 39° 48' 27'',E 116° 9' 21''
N 39° 58' 2'',E 115° 58' 52''
N 39° 51' 54'',E 116° 41' 33''
N 39° 36' 50'',E 115° 57' 32''
N 39° 55' 53'',E 116° 3' 56''
N 39° 36' 24'',E 116° 6' 49''
N 39° 39' 19'',E 115° 44' 0''
N 39° 49' 39'',E 115° 53' 45''
N 39° 56' 58'',E 116° 22' 46''
N 39° 43' 16'',E 116° 4' 39''
N 39° 49' 2'',E 116° 30' 20''
N 39° 32' 51'',E 116° 20' 19''
N 39° 43' 13'',E 116° 38' 54''
N 39° 41' 47'',E 116° 31' 39''
N 39° 52' 28'',E 116° 37' 56''
N 39° 44' 45'',E 116° 38' 40''
N 39° 48' 16'',E 116° 35' 0''
N 39° 46' 35'',E 116° 4' 34''
N 39° 44' 21'',E 116° 10' 25''
