LAT,LONG
1.206465,10.54711
1.206465,10.54711
1.773618,10.280646
1.863911,10.174728
1.863773,10.160059
1.521412,10.531284
1.480092,10.503916
1.666693,10.305264
1.555264,10.652411
1.555264,10.652411
1.731751,10.080455
1.731751,10.080455
1.536741,10.866252
1.065982,10.743307
1.065982,10.743307
2.025193,10.376822
1.968527,10.280921
1.895315,10.193937
1.063127,10.793859
1.296862,10.577706
1.354849,10.289634
1.044144,10.244752
1.036071,10.242699
1.717678,10.10708
1.127097,10.359518
1.549234,10.785311
1.04711,10.059974
1.041243,10.643915
1.441346,10.58227
1.039297,10.856901
1.900672,10.299277
1.88416,10.287467
1.752567,10.172138
1.727447,10.436004
1.906683,10.300965
1.784098,10.581679
2.079612,10.417218
1.812257,10.539396
1.845337,10.534934
1.872661,10.268941
1.455523,10.27309
1.60445,10.868751
1.103118,10.594296
1.859869,10.501194
1.828855,10.574973
